,user,dialogue
Llama3.1-8B-Instruct,0.7081691901653527,0.5762254136888196
Llama3.1-70B-Instruct,0.7445328064725563,0.7201385797036317
DeepSeek-V3,0.9583252094723501,0.9762616232346643
Qwen2.5-7B-Instruct,0.8331988619242876,0.8205402802050324
Qwen2.5-72B-Instruct,0.9084707426072066,0.9099379499560365
QwQ-32B,0.9409838303425383,0.9105967373426898
