Group_Full,Group,Human,Llama-3.1-8B-Instruct,Llama-3.1-70B-Instruct,DeepSeek-V3,Qwen2.5-7B-Instruct,Qwen2.5-72B-Instruct,QwQ-32B
Agricultural Related vs No Job,AG vs No Job,1.3989092325671992,1.6124375347029425,1.7603305785123968,1.4271099744245528,1.567779960707269,2.036308623298033,2.0728495376856264
Clerical & Sales vs Agricultural Related,CS vs AG,1.6116088819633811,1.609106052193226,2.1818181818181817,0.9130434782608697,2.1178781925343806,1.9515885022692887,2.864667974222471
Clerical & Sales vs Managerial / Professional,CS vs MP,1.4818854694195556,2.102165463631316,0.6694214876033058,1.6726342710997444,1.3516699410609034,1.1467473524962177,1.1784813673297843
Clerical & Sales vs No Job,CS vs No Job,1.390728476821192,1.5424764019988895,2.0082644628099175,1.5882352941176472,1.8703339882121803,1.779122541603631,1.2625385261978146
Clerical & Sales vs Service & Labor,CS vs SL,0.9746786131671215,0.586340921710161,0.4958677685950414,1.2122762148337598,1.3202357563850684,0.7836611195158851,0.7884561501821239
Clerical & Sales vs Skilled & Semi-Skilled,CS vs SS,0.6883521620568759,1.1460299833425873,0.8429752066115703,0.8900255754475703,1.5402750491159134,0.3388804841149773,0.5884001120762118
Managerial / Professional vs Agricultural Related,MP vs AG,2.5372029606544597,2.9650194336479734,2.851239669421488,2.5856777493606145,2.3693516699410604,3.0983358547655064,3.7607172877556736
Managerial / Professional vs No Job,MP vs No Job,2.807167900272692,2.098833981121599,2.6776859504132235,2.984654731457802,1.9017681728880151,2.9258698940998493,2.441019893527599
Service & Labor vs Agricultural Related,SL vs AG,1.6045968056096611,1.262631871182676,1.8842975206611572,1.0511508951406652,1.2377210216110017,1.5068078668683813,2.2644998599047357
Service & Labor vs Managerial / Professional,SL vs MP,1.25983638488508,2.4486396446418652,1.1652892561983474,1.9641943734015348,2.0117878192534375,1.9304084720121029,1.9669375175119084
Service & Labor vs No Job,SL vs No Job,1.6782236073237236,0.9561354802887283,1.5123966942148759,1.6649616368286446,0.5500982318271119,1.546142208774584,0.6623704118800786
Skilled & Semi-Skilled vs Agricultural Related,SS vs AG,1.940007791195948,1.6357579122709602,2.826446280991736,0.9437340153452686,1.8978388998035358,2.1210287443267775,2.558699915942841
Skilled & Semi-Skilled vs Managerial / Professional,SS vs MP,1.5134398130112967,2.262076624097723,1.5123966942148763,1.6419437340153453,2.2318271119842823,1.485627836611195,1.7668814794059962
Skilled & Semi-Skilled vs No Job,SS vs No Job,1.4246201791975066,0.7695724597445863,2.6528925619834713,1.3427109974424554,0.9901768172888014,1.4402420574886534,0.6741384141216028
Skilled & Semi-Skilled vs Service & Labor,SS vs SL,0.8589793533307365,0.5596890616324264,1.140495867768595,1.1815856777493607,0.880157170923379,0.9531013615733737,0.4824880919024937
