model,attribute,delta_mean,human_mean,model_mean,n_pairs
ba_user,age,3.0677182539682537,10.92767857142857,13.995396825396824,800
ba_user,continent_of_residence,2.3343411438649526,11.8236079617032,14.157949105568154,945
ba_user,immigration_status,4.936349206349205,9.133968253968254,14.07031746031746,50
ba_user,highest_level_of_education,3.0694664902998228,10.791854056437389,13.861320546737211,720
ba_user,socioeconomic_status,3.255562904174014,11.029431216931217,14.284994121105232,540
ba_user,occupation_group,2.597461656955327,11.586246734980913,14.183708391936237,1185
ba_dialogue_career,age,2.9686755952380945,10.92767857142857,13.896354166666665,800
ba_dialogue_career,continent_of_residence,2.1570798689846304,11.8236079617032,13.980687830687831,945
ba_dialogue_career,immigration_status,5.122301587301587,9.133968253968254,14.256269841269841,50
ba_dialogue_career,highest_level_of_education,2.979739858906525,10.791854056437389,13.771593915343914,720
ba_dialogue_career,socioeconomic_status,2.840828924162256,11.029431216931217,13.870260141093473,540
ba_dialogue_career,occupation_group,2.3700857276806637,11.586246734980913,13.956332462661573,1185
ba_dialogue_investment,age,1.9598115079365073,10.92767857142857,12.88749007936508,800
ba_dialogue_investment,continent_of_residence,1.2514865205341392,11.8236079617032,13.075094482237338,945
ba_dialogue_investment,immigration_status,4.005873015873016,9.133968253968254,13.139841269841268,50
ba_dialogue_investment,highest_level_of_education,2.1871031746031737,10.791854056437389,12.978957231040562,720
ba_dialogue_investment,socioeconomic_status,1.8841784244562012,11.029431216931217,12.913609641387419,540
ba_dialogue_investment,occupation_group,1.3364677516576244,11.586246734980913,12.922714486638535,1185
